Max Hands,Actual Hands
10000,112

Nguoi Choi,Strategy,Hands Played,Wins,Hand Winrate (%),Chip Ban Dau,Chip Hien Tai,Profit,Chip Thang,Bust Hand,Status
Player_0,BRAINROT,8,1,12.50,50000,0,-50000,3540,8,BUSTED
Player_1,CHOICONAO,112,41,36.61,50000,450000,400000,584471,SURVIVED,ALIVE
Player_2,CHOIANTOAN,112,47,41.96,50000,0,-50000,5868,112,BUSTED
Player_3,BRAINROT,12,1,8.33,50000,0,-50000,820,12,BUSTED
Player_4,CHOICONAO,17,2,11.76,50000,0,-50000,125392,17,BUSTED
Player_5,CHOIANTOAN,12,1,8.33,50000,0,-50000,3376,12,BUSTED
Player_6,BRAINROT,15,6,40.00,50000,0,-50000,294339,15,BUSTED
Player_7,CHOICONAO,71,5,7.04,50000,0,-50000,481,71,BUSTED
Player_8,CHOIANTOAN,42,8,19.05,50000,0,-50000,58878,42,BUSTED

TONG CONG,,,,,450000,450000,0,,,
